time_local,cif_forecast_g_kwh
00:00,413.6
00:05,414.2
00:10,414.6
00:15,415.0
00:20,415.4
00:25,415.7
00:30,415.9
00:35,416.1
00:40,416.3
00:45,416.4
00:50,416.5
00:55,416.5
01:00,416.5
01:05,416.5
01:10,416.2
01:15,415.8
01:20,415.3
01:25,414.8
01:30,414.2
01:35,413.6
01:40,413.1
01:45,412.6
01:50,412.2
01:55,412.0
02:00,411.9
02:05,411.9
02:10,412.0
02:15,412.1
02:20,412.2
02:25,412.4
02:30,412.6
02:35,412.8
02:40,413.0
02:45,413.2
02:50,413.4
02:55,413.5
03:00,413.7
03:05,413.8
03:10,414.0
03:15,414.1
03:20,414.2
03:25,414.3
03:30,414.4
03:35,414.6
03:40,414.7
03:45,414.9
03:50,415.0
03:55,415.2
04:00,415.5
04:05,415.8
04:10,416.2
04:15,416.7
04:20,417.3
04:25,418.0
04:30,418.8
04:35,419.7
04:40,420.7
04:45,421.8
04:50,423.0
04:55,424.2
05:00,425.5
05:05,427.4
05:10,430.0
05:15,433.4
05:20,437.3
05:25,441.6
05:30,446.2
05:35,450.9
05:40,455.6
05:45,460.1
05:50,464.3
05:55,468.0
06:00,471.1
06:05,474.0
06:10,476.9
06:15,479.8
06:20,482.7
06:25,485.4
06:30,488.1
06:35,490.5
06:40,492.6
06:45,494.5
06:50,496.0
06:55,497.0
07:00,497.6
07:05,497.9
07:10,498.2
07:15,498.4
07:20,498.6
07:25,498.8
07:30,498.9
07:35,499.0
07:40,499.2
07:45,499.3
07:50,499.5
07:55,499.6
08:00,499.8
08:05,500.0
08:10,500.3
08:15,500.5
08:20,500.8
08:25,501.1
08:30,501.3
08:35,501.6
08:40,501.8
08:45,502.0
08:50,502.2
08:55,502.4
09:00,502.4
09:05,502.5
09:10,502.5
09:15,502.6
09:20,502.6
09:25,502.6
09:30,502.6
09:35,502.6
09:40,502.7
09:45,502.7
09:50,502.7
09:55,502.8
10:00,502.8
10:05,503.0
10:10,503.3
10:15,503.7
10:20,504.2
10:25,504.7
10:30,505.3
10:35,505.8
10:40,506.4
10:45,506.8
10:50,507.2
10:55,507.5
11:00,507.6
11:05,507.5
11:10,507.5
11:15,507.3
11:20,507.2
11:25,507.0
11:30,506.9
11:35,506.7
11:40,506.6
11:45,506.4
11:50,506.3
11:55,506.2
12:00,506.2
12:05,506.2
12:10,506.4
12:15,506.5
12:20,506.7
12:25,507.0
12:30,507.3
12:35,507.5
12:40,507.8
12:45,508.0
12:50,508.2
12:55,508.4
13:00,508.5
13:05,508.5
13:10,508.6
13:15,508.6
13:20,508.6
13:25,508.7
13:30,508.7
13:35,508.7
13:40,508.8
13:45,508.8
13:50,508.8
13:55,508.8
14:00,508.8
14:05,508.8
14:10,508.8
14:15,508.8
14:20,508.8
14:25,508.9
14:30,508.9
14:35,508.9
14:40,508.9
14:45,508.9
14:50,508.9
14:55,508.9
15:00,508.9
15:05,508.9
15:10,508.8
15:15,508.8
15:20,508.7
15:25,508.6
15:30,508.5
15:35,508.4
15:40,508.2
15:45,508.1
15:50,508.0
15:55,507.9
16:00,507.8
16:05,507.7
16:10,507.7
16:15,507.6
16:20,507.6
16:25,507.5
16:30,507.4
16:35,507.4
16:40,507.3
16:45,507.2
16:50,507.1
16:55,507.0
17:00,506.8
17:05,506.3
17:10,505.1
17:15,503.4
17:20,501.2
17:25,498.6
17:30,495.7
17:35,492.7
17:40,489.5
17:45,486.3
17:50,483.3
17:55,480.3
18:00,477.7
18:05,475.0
18:10,472.1
18:15,469.0
18:20,465.8
18:25,462.6
18:30,459.5
18:35,456.6
18:40,453.8
18:45,451.5
18:50,449.5
18:55,448.1
19:00,447.2
19:05,446.7
19:10,446.3
19:15,446.0
19:20,445.7
19:25,445.5
19:30,445.3
19:35,445.1
19:40,444.8
19:45,444.6
19:50,444.3
19:55,444.0
20:00,443.6
20:05,443.2
20:10,442.6
20:15,441.9
20:20,441.2
20:25,440.4
20:30,439.6
20:35,438.8
20:40,437.9
20:45,437.1
20:50,436.3
20:55,435.5
21:00,434.8
21:05,434.2
21:10,433.6
21:15,433.0
21:20,432.4
21:25,431.8
21:30,431.3
21:35,430.7
21:40,430.1
21:45,429.5
21:50,428.9
21:55,428.2
22:00,427.5
22:05,426.7
22:10,425.7
22:15,424.7
22:20,423.5
22:25,422.4
22:30,421.2
22:35,420.1
22:40,419.0
22:45,418.0
22:50,417.2
22:55,416.5
23:00,416.1
23:05,415.8
23:10,415.4
23:15,415.1
23:20,414.9
23:25,414.6
23:30,414.4
23:35,414.2
23:40,414.0
23:45,413.8
23:50,413.7
23:55,413.7
