time_local,cif_forecast_g_kwh
00:00,697.5
00:05,698.7
00:10,699.8
00:15,700.9
00:20,701.9
00:25,702.9
00:30,703.7
00:35,704.5
00:40,705.2
00:45,705.7
00:50,706.1
00:55,706.4
01:00,706.5
01:05,706.5
01:10,706.4
01:15,706.4
01:20,706.3
01:25,706.2
01:30,706.1
01:35,706.0
01:40,705.9
01:45,705.8
01:50,705.6
01:55,705.5
02:00,705.4
02:05,705.3
02:10,705.1
02:15,705.0
02:20,704.8
02:25,704.7
02:30,704.5
02:35,704.3
02:40,704.2
02:45,704.0
02:50,703.8
02:55,703.7
03:00,703.5
03:05,703.3
03:10,703.2
03:15,703.0
03:20,702.8
03:25,702.6
03:30,702.4
03:35,702.2
03:40,702.0
03:45,701.9
03:50,701.8
03:55,701.7
04:00,701.7
04:05,701.8
04:10,701.9
04:15,702.1
04:20,702.3
04:25,702.6
04:30,702.9
04:35,703.2
04:40,703.5
04:45,703.8
04:50,704.1
04:55,704.4
05:00,704.6
05:05,704.7
05:10,704.9
05:15,705.0
05:20,705.1
05:25,705.2
05:30,705.3
05:35,705.4
05:40,705.5
05:45,705.7
05:50,705.8
05:55,706.0
06:00,706.2
06:05,706.5
06:10,707.0
06:15,707.7
06:20,708.5
06:25,709.3
06:30,710.2
06:35,711.1
06:40,712.0
06:45,712.8
06:50,713.6
06:55,714.2
07:00,714.7
07:05,715.0
07:10,715.4
07:15,715.8
07:20,716.1
07:25,716.5
07:30,716.8
07:35,717.1
07:40,717.3
07:45,717.5
07:50,717.6
07:55,717.7
08:00,717.8
08:05,717.5
08:10,716.8
08:15,715.7
08:20,714.3
08:25,712.6
08:30,710.8
08:35,708.9
08:40,707.0
08:45,705.2
08:50,703.5
08:55,702.0
09:00,700.9
09:05,699.9
09:10,699.0
09:15,698.1
09:20,697.3
09:25,696.5
09:30,695.7
09:35,695.0
09:40,694.3
09:45,693.6
09:50,692.9
09:55,692.2
10:00,691.5
10:05,690.8
10:10,690.2
10:15,689.7
10:20,689.2
10:25,688.6
10:30,688.1
10:35,687.6
10:40,687.0
10:45,686.4
10:50,685.7
10:55,684.9
11:00,684.0
11:05,682.9
11:10,681.5
11:15,679.8
11:20,678.0
11:25,676.0
11:30,673.8
11:35,671.5
11:40,669.1
11:45,666.7
11:50,664.3
11:55,661.8
12:00,659.4
12:05,657.1
12:10,654.6
12:15,652.1
12:20,649.6
12:25,647.0
12:30,644.3
12:35,641.5
12:40,638.6
12:45,635.7
12:50,632.7
12:55,629.5
13:00,626.3
13:05,622.6
13:10,618.1
13:15,613.2
13:20,607.9
13:25,602.5
13:30,597.1
13:35,592.0
13:40,587.4
13:45,583.5
13:50,580.4
13:55,578.4
14:00,577.7
14:05,577.6
14:10,577.6
14:15,577.6
14:20,577.6
14:25,577.6
14:30,577.5
14:35,577.5
14:40,577.5
14:45,577.5
14:50,577.5
14:55,577.5
15:00,577.5
15:05,578.5
15:10,581.4
15:15,586.0
15:20,591.8
15:25,598.7
15:30,606.3
15:35,614.4
15:40,622.7
15:45,630.9
15:50,638.8
15:55,645.9
16:00,652.2
16:05,658.1
16:10,664.3
16:15,670.8
16:20,677.3
16:25,683.7
16:30,689.9
16:35,695.7
16:40,701.1
16:45,705.8
16:50,709.8
16:55,712.9
17:00,715.0
17:05,716.4
17:10,717.8
17:15,719.1
17:20,720.3
17:25,721.4
17:30,722.4
17:35,723.2
17:40,723.9
17:45,724.5
17:50,725.0
17:55,725.2
18:00,725.3
18:05,725.3
18:10,725.3
18:15,725.3
18:20,725.2
18:25,725.2
18:30,725.2
18:35,725.1
18:40,725.1
18:45,725.0
18:50,724.9
18:55,724.9
19:00,724.8
19:05,724.3
19:10,722.9
19:15,721.0
19:20,718.6
19:25,715.9
19:30,713.1
19:35,710.2
19:40,707.5
19:45,705.2
19:50,703.3
19:55,702.0
20:00,701.6
20:05,701.8
20:10,702.4
20:15,703.3
20:20,704.4
20:25,705.7
20:30,707.1
20:35,708.6
20:40,710.1
20:45,711.6
20:50,712.9
20:55,714.0
21:00,714.9
21:05,715.6
21:10,716.4
21:15,717.2
21:20,717.9
21:25,718.6
21:30,719.3
21:35,719.9
21:40,720.4
21:45,720.8
21:50,721.2
21:55,721.4
22:00,721.5
22:05,721.3
22:10,721.0
22:15,720.5
22:20,719.9
22:25,719.1
22:30,718.3
22:35,717.3
22:40,716.3
22:45,715.3
22:50,714.3
22:55,713.2
23:00,712.3
23:05,711.3
23:10,710.3
23:15,709.2
23:20,708.1
23:25,706.9
23:30,705.7
23:35,704.4
23:40,703.1
23:45,701.7
23:50,700.4
23:55,699.0
